confirmation_item_id,annotation_id,question_id,split,question_type,difficulty,fact_type,label,span_text,annotation_reason,focus_tags,detector_error_roles,highlighted_excerpt,gold_short_answer,question,gold_reference,confirmation_checklist,precheck_status,confirmation_status,requires_human_confirmation
confirm_001,ann_full100_draft_q_0039_006,q_0039,test,country_comparison_month,medium,currency_amount,correct_key_fact,"5,586.83 GBP","Generated comparison difference is within tolerance of GBP 5,586.63.","[""detector_error_example"", ""currency_amount_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_positive"", ""score"": ""0.021932"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive"", ""example_rank"": 5}]","...25,017.64 GBP) than Germany (30,604.27 GBP), with France earning a net revenue of -8,453.41 GBP. The difference in net revenue is [[5,586.83 GBP]].","Germany generated more net revenue than France by GBP 5,586.63 in October 2011.","In October 2011, did Germany or France generate more net revenue, and by how much?","{""field"": ""revenue_delta"", ""fact_type"": ""currency_amount"", ""gold_value"": 5586.63, ""gold_display_value"": ""GBP 5,586.63"", ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_002,ann_full100_draft_q_0054_003,q_0054,test,monthly_revenue_change,hard,comparison_direction,correct_key_fact,decreased,Generated direction matches the gold direction.,"[""detector_error_example""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_positive"", ""score"": ""0.028835"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive"", ""example_rank"": 3}]","From May 2011 to June 2011, net revenue [[decreased]] by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-...","Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"{""field"": ""direction"", ""fact_type"": ""comparison_direction"", ""gold_value"": ""decrease"", ""gold_display_value"": ""decrease"", ""tolerance"": ""exact_normalized_match""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_003,ann_full100_draft_q_0054_005,q_0054,test,monthly_revenue_change,hard,percentage,correct_key_fact,-4.14%,Generated percentage change is within tolerance of -4.45%.,"[""detector_error_example""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_positive"", ""score"": ""0.242012"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive"", ""example_rank"": 1}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_positive"", ""score"": ""0.969707"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_positive"", ""example_rank"": 1}]","From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **[[-4.14%]]** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011.",How did net revenue change from May 2011 to June 2011? Provide the absolute change and percentage change.,"{""field"": ""percent_change"", ""fact_type"": ""percentage"", ""gold_value"": -4.45, ""gold_display_value"": ""-4.45%"", ""tolerance"": {""percentage_points"": 0.5}}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_004,ann_full100_draft_q_0059_004,q_0059,test,monthly_revenue_change,hard,comparison_direction,correct_key_fact,increase,Generated direction matches the gold direction.,"[""detector_error_example""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_positive"", ""score"": ""0.023611"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive"", ""example_rank"": 4}]","The net revenue for November 2011 was 145,614.50 GBP, which represents a **29.75%** [[increase]] from October 2011's 106,936.83 GBP. The absolute change is **38,677.67 GBP**, and the percentage change is calculated by dividing...","Net revenue increased by GBP 386,777.57 (36.17%) from October 2011 to November 2011.",How did net revenue change from October 2011 to November 2011? Provide the absolute change and percentage change.,"{""field"": ""direction"", ""fact_type"": ""comparison_direction"", ""gold_value"": ""increase"", ""gold_display_value"": ""increase"", ""tolerance"": ""exact_normalized_match""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_005,ann_full100_draft_q_0063_010,q_0063,dev,top3_products_month,medium,ranking,hallucinated_key_fact,3.,The rank-3 marker is tied to the wrong generated product.,"[""offset_regression_check""]",[],"...BERRY** (85099F) with a net revenue of GBP 5853.80.  
2. **JUMBO BAG PINK POLKADOT** (22386) with a net revenue of GBP 5079.29.  
[[3.]] **VINTAGE UNION JACK BUNTING** (21621) with a net revenue of GBP 5214.33.  

The rankings are based on the provided net_revenue_g...","Top 3 products in March 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 16,817.85; 2. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,116.43; 3. 47566 (PARTY BUNTING), GBP 9,098.27.","What were the top 3 products by merchandise net revenue in March 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[2].rank_item"", ""fact_type"": ""ranking"", ""gold_value"": ""3. 47566"", ""gold_display_value"": ""3. 47566 / PARTY BUNTING""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Rank marker span is the list marker, not a decimal inside a currency amount.""]",pass,pending_human_review,True
confirm_006,ann_full100_draft_q_0064_004,q_0064,test,top3_products_month,medium,currency_amount,correct_key_fact,"GBP 14,280.90",Generated rank-1 revenue matches the gold rank-1 revenue.,"[""detector_error_example"", ""top3_confident_miss_pattern"", ""currency_amount_pattern""]","[{""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_positive"", ""score"": ""0.799101"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_positive"", ""example_rank"": 3}]","...he top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of [[GBP 14,280.90]].  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net reve...","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.","What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[0].merchandise_net_revenue"", ""fact_type"": ""currency_amount"", ""gold_value"": 14280.9, ""gold_display_value"": ""GBP 14,280.90""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_007,ann_full100_draft_q_0064_006,q_0064,test,top3_products_month,medium,product_name,correct_key_fact,PARTY BUNTING,Generated rank-2 product matches the gold rank-2 product.,"[""detector_error_example"", ""top3_confident_miss_pattern""]","[{""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_positive"", ""score"": ""0.769828"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_positive"", ""example_rank"": 4}]","...erchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **[[PARTY BUNTING]]** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.","What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[1].description"", ""fact_type"": ""product_name"", ""gold_value"": ""PARTY BUNTING"", ""gold_display_value"": ""PARTY BUNTING""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_008,ann_full100_draft_q_0064_008,q_0064,test,top3_products_month,medium,ranking,hallucinated_key_fact,3.,The rank-3 marker is tied to the wrong generated product.,"[""detector_error_example"", ""offset_regression_check"", ""top3_confident_miss_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_negative"", ""score"": ""1e-06"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative"", ""example_rank"": 1}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_negative"", ""score"": ""6e-06"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_negative"", ""example_rank"": 1}]","...AND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
[[3.]] **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.","What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[2].rank_item"", ""fact_type"": ""ranking"", ""gold_value"": ""3. 22084"", ""gold_display_value"": ""3. 22084 / PAPER CHAIN KIT EMPIRE""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed."", ""Rank marker span is the list marker, not a decimal inside a currency amount.""]",pass,pending_human_review,True
confirm_009,ann_full100_draft_q_0064_010,q_0064,test,top3_products_month,medium,currency_amount,hallucinated_key_fact,"GBP 4,173.18","Gold rank-3 revenue is GBP 6,619.51, not GBP 4,173.18.","[""detector_error_example"", ""top3_confident_miss_pattern"", ""currency_amount_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_negative"", ""score"": ""1e-06"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative"", ""example_rank"": 2}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_negative"", ""score"": ""1.9e-05"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_negative"", ""example_rank"": 4}]","...**PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of [[GBP 4,173.18]].","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51.","What were the top 3 products by merchandise net revenue in April 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[2].merchandise_net_revenue"", ""fact_type"": ""currency_amount"", ""gold_value"": 6619.51, ""gold_display_value"": ""GBP 6,619.51""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_010,ann_full100_draft_q_0068_008,q_0068,dev,top3_products_month,medium,ranking,hallucinated_key_fact,3.,The rank-3 marker is tied to the wrong generated product.,"[""offset_regression_check""]",[],"...* (rank 1), with a net revenue of GBP 4,728.73.  
2. **JUMBO BAG RED RETROSPOT** (rank 2), with a net revenue of GBP 10,441.77.  
[[3.]] **SPOTTY BUNTING** (rank 3), with a net revenue of GBP 7,864.43.","Top 3 products in August 2011: 1. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,441.77; 2. 84879 (ASSORTED COLOUR BIRD ORNAMENT), GBP 9,867.04; 3. 47566 (PARTY BUNTING), GBP 9,655.25.","What were the top 3 products by merchandise net revenue in August 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[2].rank_item"", ""fact_type"": ""ranking"", ""gold_value"": ""3. 47566"", ""gold_display_value"": ""3. 47566 / PARTY BUNTING""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Rank marker span is the list marker, not a decimal inside a currency amount.""]",pass,pending_human_review,True
confirm_011,ann_full100_draft_q_0069_005,q_0069,test,top3_products_month,medium,ranking,hallucinated_key_fact,2.,The rank-2 marker is tied to the wrong generated product.,"[""detector_error_example"", ""top3_confident_miss_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_negative"", ""score"": ""2e-06"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative"", ""example_rank"": 3}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_negative"", ""score"": ""1.6e-05"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_negative"", ""example_rank"": 3}]","...by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
[[2.]] **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a ...","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.","What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[1].rank_item"", ""fact_type"": ""ranking"", ""gold_value"": ""2. 22423"", ""gold_display_value"": ""2. 22423 / REGENCY CAKESTAND 3 TIER""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_012,ann_full100_draft_q_0069_008,q_0069,test,top3_products_month,medium,ranking,hallucinated_key_fact,3.,The rank-3 marker is tied to the wrong generated product.,"[""detector_error_example"", ""top3_confident_miss_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_negative"", ""score"": ""2e-06"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative"", ""example_rank"": 4}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_negative"", ""score"": ""7e-06"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_negative"", ""example_rank"": 2}]","...(rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
[[3.]] **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.","What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[2].rank_item"", ""fact_type"": ""ranking"", ""gold_value"": ""3. 85099B"", ""gold_display_value"": ""3. 85099B / JUMBO BAG RED RETROSPOT""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_013,ann_full100_draft_q_0069_010,q_0069,test,top3_products_month,medium,currency_amount,hallucinated_key_fact,GBP 9315.03,"GBP 9,315.03 is the gold rank-2 revenue, but the generated answer uses it for rank 3.","[""detector_error_example"", ""top3_confident_miss_pattern"", ""currency_amount_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_negative"", ""score"": ""2e-06"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_negative"", ""example_rank"": 5}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_negative"", ""score"": ""3.2e-05"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_negative"", ""example_rank"": 5}]","...KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of [[GBP 9315.03]].","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45.","What were the top 3 products by merchandise net revenue in September 2011? Give the rank, stock code, product name, and net revenue.","{""field"": ""top_products[2].merchandise_net_revenue"", ""fact_type"": ""currency_amount"", ""gold_value"": 8630.45, ""gold_display_value"": ""GBP 8,630.45""}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_014,ann_full100_draft_q_0093_002,q_0093,test,return_impact_month,hard,currency_amount,correct_key_fact,"£44,600.65","Generated reduction amount matches GBP 44,600.65; the pound symbol is treated as GBP-compatible in this context.","[""detector_error_example"", ""currency_amount_pattern""]","[{""family"": ""energy"", ""baseline_role"": ""energy_best_test_f1"", ""baseline"": ""mean_spilled_probability_mass_after_top2"", ""error_type"": ""false_positive"", ""score"": ""0.075874"", ""threshold"": ""0.000225"", ""selection_reason"": ""largest absolute score margin for mean_spilled_probability_mass_after_top2 false_positive"", ""example_rank"": 2}, {""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_positive"", ""score"": ""0.910483"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_positive"", ""example_rank"": 2}]","In April 2011, cancellations and returns reduced gross positive revenue by [[£44,600.65]], resulting in a final net revenue of £44,600.65.","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84.","In April 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","{""field"": ""reduction_amount"", ""fact_type"": ""currency_amount"", ""gold_value"": 44600.65, ""gold_display_value"": ""GBP 44,600.65"", ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
confirm_015,ann_full100_draft_q_0098_002,q_0098,test,return_impact_month,hard,currency_amount,correct_key_fact,"GBP 38,838.51","Generated reduction amount matches GBP 38,838.51.","[""detector_error_example"", ""currency_amount_pattern""]","[{""family"": ""simple"", ""baseline_role"": ""simple_best_test_auprc"", ""baseline"": ""one_minus_min_top2_margin"", ""error_type"": ""false_positive"", ""score"": ""0.700917"", ""threshold"": ""0.334333"", ""selection_reason"": ""largest absolute score margin for one_minus_min_top2_margin false_positive"", ""example_rank"": 5}]","In September 2011, cancellations and returns reduced gross positive revenue by [[GBP 38,838.51]], resulting in a net revenue of GBP 101,759.68.","Cancellations and returns reduced gross positive revenue by GBP 38,838.51 (3.68% of gross), leaving net revenue of GBP 1,017,596.68.","In September 2011, how much did cancellations and returns reduce gross positive revenue, and what was the final net revenue?","{""field"": ""reduction_amount"", ""fact_type"": ""currency_amount"", ""gold_value"": 38838.51, ""gold_display_value"": ""GBP 38,838.51"", ""tolerance"": {""absolute"": 1.0, ""relative_percent"": 0.5}}","[""Highlighted span points to the intended generated claim."", ""Gold reference matches the deterministic gold answer/evidence."", ""Label is correct_key_fact only when the generated claim is supported; otherwise hallucinated_key_fact or unsupported_claim is justified."", ""Annotation reason is specific enough to explain the label in a presentation."", ""Detector error type is presentation-safe: false positive means correct span flagged; false negative means wrong/unsupported span missed.""]",pass,pending_human_review,True
