confirmation_item_id,annotation_id,question_id,split,question_type,fact_type,label,span_text,lock_decision,lock_status,lock_basis,lock_scope,locked_on,labels_locked,assistant_label_verdict,presentation_use,publish_use,demo_priority,risk_level,source_action,source_fix_required,span_level_caveat,review_note,lock_reason,detector_role_text,highlighted_excerpt,gold_short_answer
confirm_001,ann_full100_draft_q_0039_006,q_0039,test,country_comparison_month,currency_amount,correct_key_fact,"5,586.83 GBP",locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,span_level_caveat,caveat_demo,medium,medium,none,False,True,"The selected delta amount is within tolerance, but the generated sentence also says France generated more despite listing Germany as higher. Use only as a span-level false-positive example, not as a whole-answer correctness example.",Locked for caveat use only because the selected span is supported but the surrounding answer has other errors.,energy false_positive via mean_spilled_probability_mass_after_top2,"...25,017.64 GBP) than Germany (30,604.27 GBP), with France earning a net revenue of -8,453.41 GBP. The difference in net revenue is [[5,586.83 GBP]].","Germany generated more net revenue than France by GBP 5,586.63 in October 2011."
confirm_002,ann_full100_draft_q_0054_003,q_0054,test,monthly_revenue_change,comparison_direction,correct_key_fact,decreased,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,span_level_caveat,caveat_demo,medium,medium,none,False,True,"The direction word is correct, while the amount in the same answer is off by a factor of about ten. This is safe only when framed as span-level labeling.",Locked for caveat use only because the selected span is supported but the surrounding answer has other errors.,energy false_positive via mean_spilled_probability_mass_after_top2,"From May 2011 to June 2011, net revenue [[decreased]] by **GBP 3,121.37**, representing a **-4.14%** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-...","Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011."
confirm_003,ann_full100_draft_q_0054_005,q_0054,test,monthly_revenue_change,percentage,correct_key_fact,-4.14%,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,span_level_caveat,caveat_demo,medium,medium,none,False,True,"The percentage is within the configured tolerance, but it appears in an answer with a wrong absolute amount. If shown, mention the tolerance and avoid implying the full answer is correct.",Locked for caveat use only because the selected span is supported but the surrounding answer has other errors.,energy false_positive via mean_spilled_probability_mass_after_top2; simple false_positive via one_minus_min_top2_margin,"From May 2011 to June 2011, net revenue decreased by **GBP 3,121.37**, representing a **[[-4.14%]]** change. The absolute change is **-GBP 3,121.37**, and the percentage change is **-4.14%**.","Net revenue decreased by GBP 32,116.87 (-4.45%) from May 2011 to June 2011."
confirm_004,ann_full100_draft_q_0059_004,q_0059,test,monthly_revenue_change,comparison_direction,correct_key_fact,increase,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,span_level_caveat,caveat_demo,medium,medium,none,False,True,"The increase direction is correct, but the generated revenue and change figures are scaled down. Use as a span-level false-positive example only.",Locked for caveat use only because the selected span is supported but the surrounding answer has other errors.,energy false_positive via mean_spilled_probability_mass_after_top2,"The net revenue for November 2011 was 145,614.50 GBP, which represents a **29.75%** [[increase]] from October 2011's 106,936.83 GBP. The absolute change is **38,677.67 GBP**, and the percentage change is calculated by dividing...","Net revenue increased by GBP 386,777.57 (36.17%) from October 2011 to November 2011."
confirm_005,ann_full100_draft_q_0063_010,q_0063,dev,top3_products_month,ranking,hallucinated_key_fact,3.,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,offset_check_only,qa_regression_only,low,low,none,False,False,"The span is the rank-3 list marker and is tied to the wrong generated product. This is mainly useful as an offset-regression check, not as a detector error example.",Locked as a QA regression example for rank-marker offset correctness.,No detector-error row; offset check only.,"...BERRY** (85099F) with a net revenue of GBP 5853.80.  
2. **JUMBO BAG PINK POLKADOT** (22386) with a net revenue of GBP 5079.29.  
[[3.]] **VINTAGE UNION JACK BUNTING** (21621) with a net revenue of GBP 5214.33.  

The rankings are based on the provided net_revenue_g...","Top 3 products in March 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 16,817.85; 2. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,116.43; 3. 47566 (PARTY BUNTING), GBP 9,098.27."
confirm_006,ann_full100_draft_q_0064_004,q_0064,test,top3_products_month,currency_amount,correct_key_fact,"GBP 14,280.90",locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,paired_contrast_example,primary_demo,high,low,none,False,False,"The rank-1 amount is supported by gold evidence. It works well in the April 2011 paired example, where nearby spans include both supported and hallucinated claims.",Locked as a primary paired example because it contains nearby supported and hallucinated spans.,simple false_positive via one_minus_min_top2_margin,"...he top 3 products by merchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of [[GBP 14,280.90]].  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net reve...","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51."
confirm_007,ann_full100_draft_q_0064_006,q_0064,test,top3_products_month,product_name,correct_key_fact,PARTY BUNTING,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,paired_contrast_example,primary_demo,high,low,none,False,False,The rank-2 product name is supported by gold evidence. This is a clean correct span inside the April 2011 paired contrast example.,Locked as a primary paired example because it contains nearby supported and hallucinated spans.,simple false_positive via one_minus_min_top2_margin,"...erchandise net revenue in April 2011 were:  
1. **REGENCY CAKESTAND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **[[PARTY BUNTING]]** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51."
confirm_008,ann_full100_draft_q_0064_008,q_0064,test,top3_products_month,ranking,hallucinated_key_fact,3.,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,paired_contrast_example,primary_demo,high,low,none,False,False,"The rank-3 marker is attached to WOODEN UNION JACK BUNTING, but gold rank 3 is PAPER CHAIN KIT EMPIRE. This is a clear hallucinated ranking span.",Locked as a primary paired example because it contains nearby supported and hallucinated spans.,energy false_negative via mean_spilled_probability_mass_after_top2; simple false_negative via one_minus_min_top2_margin,"...AND 3 TIER** (rank 1) with a net revenue of GBP 14,280.90.  
2. **PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
[[3.]] **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of GBP 4,173.18.","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51."
confirm_009,ann_full100_draft_q_0064_010,q_0064,test,top3_products_month,currency_amount,hallucinated_key_fact,"GBP 4,173.18",locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,paired_contrast_example,primary_demo,high,low,none,False,False,The rank-3 amount is for the wrong generated product and does not match the gold rank-3 revenue. This is a strong amount-level hallucination in the April 2011 example.,Locked as a primary paired example because it contains nearby supported and hallucinated spans.,energy false_negative via mean_spilled_probability_mass_after_top2; simple false_negative via one_minus_min_top2_margin,"...**PARTY BUNTING** (rank 2) with a net revenue of GBP 10,323.87.  
3. **WOODEN UNION JACK BUNTING** (rank 3) with a net revenue of [[GBP 4,173.18]].","Top 3 products in April 2011: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 14,280.90; 2. 47566 (PARTY BUNTING), GBP 10,323.87; 3. 22084 (PAPER CHAIN KIT EMPIRE), GBP 6,619.51."
confirm_010,ann_full100_draft_q_0068_008,q_0068,dev,top3_products_month,ranking,hallucinated_key_fact,3.,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,offset_check_only,qa_regression_only,low,low,none,False,False,"The span is the rank-3 list marker, not a decimal inside the nearby amount. Keep this primarily as an offset-regression check.",Locked as a QA regression example for rank-marker offset correctness.,No detector-error row; offset check only.,"...* (rank 1), with a net revenue of GBP 4,728.73.  
2. **JUMBO BAG RED RETROSPOT** (rank 2), with a net revenue of GBP 10,441.77.  
[[3.]] **SPOTTY BUNTING** (rank 3), with a net revenue of GBP 7,864.43.","Top 3 products in August 2011: 1. 85099B (JUMBO BAG RED RETROSPOT), GBP 10,441.77; 2. 84879 (ASSORTED COLOUR BIRD ORNAMENT), GBP 9,867.04; 3. 47566 (PARTY BUNTING), GBP 9,655.25."
confirm_011,ann_full100_draft_q_0069_005,q_0069,test,top3_products_month,ranking,hallucinated_key_fact,2.,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,strong_false_negative_example,primary_demo,high,low,none,False,False,"The rank-2 marker is tied to PAPER CHAIN KIT 50'S CHRISTMAS, while gold rank 2 is REGENCY CAKESTAND 3 TIER. This is a clear detector-missed hallucinated ranking span.",Locked as a primary miss example because detectors missed a clear hallucinated business fact.,energy false_negative via mean_spilled_probability_mass_after_top2; simple false_negative via one_minus_min_top2_margin,"...by merchandise net revenue in September 2011 were:  
1. **JUMBO BAG RED RETROSPOT** (rank 1) with a net revenue of GBP 8630.45.  
[[2.]] **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a ...","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45."
confirm_012,ann_full100_draft_q_0069_008,q_0069,test,top3_products_month,ranking,hallucinated_key_fact,3.,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,strong_false_negative_example,primary_demo,high,low,none,False,False,"The rank-3 marker is tied to REGENCY CAKESTAND 3 TIER, while gold rank 3 is JUMBO BAG RED RETROSPOT. This is a clear detector-missed hallucinated ranking span.",Locked as a primary miss example because detectors missed a clear hallucinated business fact.,energy false_negative via mean_spilled_probability_mass_after_top2; simple false_negative via one_minus_min_top2_margin,"...(rank 1) with a net revenue of GBP 8630.45.  
2. **PAPER CHAIN KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
[[3.]] **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of GBP 9315.03.","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45."
confirm_013,ann_full100_draft_q_0069_010,q_0069,test,top3_products_month,currency_amount,hallucinated_key_fact,GBP 9315.03,locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,strong_false_negative_example,primary_demo,high,low,none,False,False,The amount is a real rank-2 amount but is used for rank 3. This is a useful example of a value that is locally plausible but wrong in its assigned business context.,Locked as a primary miss example because detectors missed a clear hallucinated business fact.,energy false_negative via mean_spilled_probability_mass_after_top2; simple false_negative via one_minus_min_top2_margin,"...KIT 50'S CHRISTMAS** (rank 2) with a net revenue of GBP 5997.25.  
3. **REGENCY CAKESTAND 3 TIER** (rank 3) with a net revenue of [[GBP 9315.03]].","Top 3 products in September 2011: 1. 23243 (SET OF TEA COFFEE SUGAR TINS PANTRY), GBP 9,971.51; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 9,315.03; 3. 85099B (JUMBO BAG RED RETROSPOT), GBP 8,630.45."
confirm_014,ann_full100_draft_q_0093_002,q_0093,test,return_impact_month,currency_amount,correct_key_fact,"£44,600.65",locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,span_level_caveat,caveat_demo,medium,medium,none,False,True,"The reduction amount is correct, but the generated final net revenue repeats that same value and is wrong. Use only to show a correct span that a detector flags, with a clear span-level caveat.",Locked for caveat use only because the selected span is supported but the surrounding answer has other errors.,energy false_positive via mean_spilled_probability_mass_after_top2; simple false_positive via one_minus_min_top2_margin,"In April 2011, cancellations and returns reduced gross positive revenue by [[£44,600.65]], resulting in a final net revenue of £44,600.65.","Cancellations and returns reduced gross positive revenue by GBP 44,600.65 (8.31% of gross), leaving net revenue of GBP 492,367.84."
confirm_015,ann_full100_draft_q_0098_002,q_0098,test,return_impact_month,currency_amount,correct_key_fact,"GBP 38,838.51",locked,presentation_labels_locked,assistant_full_review,15 presentation-selected held-out spans,2026-05-25,True,label_supported,span_level_caveat,caveat_demo,medium,medium,none,False,True,"The reduction amount is correct, but the final net revenue is off by a factor of ten. Use only as a span-level false-positive example.",Locked for caveat use only because the selected span is supported but the surrounding answer has other errors.,simple false_positive via one_minus_min_top2_margin,"In September 2011, cancellations and returns reduced gross positive revenue by [[GBP 38,838.51]], resulting in a net revenue of GBP 101,759.68.","Cancellations and returns reduced gross positive revenue by GBP 38,838.51 (3.68% of gross), leaving net revenue of GBP 1,017,596.68."
