annotation_id,question_id,prompt_id,fact_type,label,binary_label,span_text,token_count,mean_spilled_energy_delta,negative_mean_spilled_energy_delta,mean_spilled_energy_abs_delta,max_spilled_energy_abs_delta,mean_selected_step_energy_gap,max_selected_step_energy_gap,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top2,mean_token_nll,max_token_entropy
ann_q_0001_001,q_0001,p_0001,month,correct_key_fact,0,January 2011,6,-0.797953,0.797953,3.506287,9.912718,5e-06,2.9e-05,6e-06,4e-06,6e-06,0.000412
ann_q_0001_002,q_0001,p_0001,country,correct_key_fact,0,United Kingdom,2,0.437823,-0.437823,2.187207,2.625031,0.00441,0.008789,0.00439,9.4e-05,0.00441,0.051386
ann_q_0001_003,q_0001,p_0001,country,hallucinated_key_fact,1,Spain,1,0.892475,-0.892475,0.892475,0.892475,0.508863,0.508863,0.398821,0.17766,0.508863,1.190812
ann_q_0001_004,q_0001,p_0001,currency_amount,hallucinated_key_fact,1,GBP 7178.54,9,-0.042984,0.042984,2.103066,7.975447,0.091965,0.693222,0.069791,0.00586,0.091964,0.694009
ann_q_0001_005,q_0001,p_0001,ranking,hallucinated_key_fact,1,ranking is **2nd**,6,0.617321,-0.617321,1.373672,4.199747,0.311121,0.978394,0.235323,0.126684,0.311117,2.178043
ann_q_0012_001,q_0012,p_0012,month,correct_key_fact,0,January 2011,6,-0.369545,0.369545,2.827879,7.592274,6e-06,3.6e-05,7e-06,5e-06,7e-06,0.000511
ann_q_0012_002,q_0012,p_0012,country,correct_key_fact,0,United Kingdom,2,0.772302,-0.772302,4.352763,5.125065,0.082602,0.165138,0.076144,0.002458,0.082601,0.454678
ann_q_0012_003,q_0012,p_0012,currency_amount,correct_key_fact,0,"£432,995.40",11,0.057673,-0.057673,3.169796,7.500004,0.092889,1.019182,0.058337,0.025375,0.092889,1.339111
ann_q_0012_004,q_0012,p_0012,ranking,correct_key_fact,0,ranked 1st,4,0.561554,-0.561554,0.896885,1.80155,0.499219,1.079998,0.29731,0.119216,0.499214,1.232375
ann_q_0012_005,q_0012,p_0012,percentage,unsupported_claim,1,100% gross positive revenue,7,0.153868,-0.153868,2.259836,4.660101,0.168036,0.525528,0.140079,0.073854,0.168032,1.486878
ann_q_0012_006,q_0012,p_0012,currency_amount,hallucinated_key_fact,1,£0.00,5,0.71815,-0.71815,1.63248,2.285826,0.294289,0.701836,0.233497,0.02657,0.294282,0.798342
ann_q_0047_001,q_0047,p_0047,month,correct_key_fact,0,July 2011,6,-0.020832,0.020832,4.187499,8.124998,4.5e-05,0.000267,4.5e-05,2.7e-05,4.5e-05,0.00299
ann_q_0047_002,q_0047,p_0047,comparison_direction,hallucinated_key_fact,1,the Netherlands generated more net revenue,6,0.125293,-0.125293,3.831328,10.432991,0.122122,0.567715,0.098962,0.014497,0.122121,0.877312
ann_q_0047_003,q_0047,p_0047,currency_amount,correct_key_fact,0,26.02 GBP,6,0.056245,-0.056245,2.568854,4.375015,0.007767,0.023525,0.00768,0.005676,0.007766,0.173386
ann_q_0047_004,q_0047,p_0047,country,correct_key_fact,0,EIRE,2,1.001582,-1.001582,1.871552,2.873135,0.204846,0.286558,0.182506,0.01403,0.204846,0.600885
ann_q_0047_005,q_0047,p_0047,currency_amount,correct_key_fact,0,42689.65 GBP,9,-0.410927,0.410927,4.133175,8.341766,0.002067,0.018213,0.002049,0.000266,0.002067,0.097207
ann_q_0047_006,q_0047,p_0047,currency_amount,hallucinated_key_fact,1,The Netherlands' net revenue was 0.00 GBP,12,-0.000979,0.000979,1.921367,5.750069,0.257325,1.149408,0.175577,0.067091,0.257322,1.707712
ann_q_0047_007,q_0047,p_0047,currency_amount,correct_key_fact,0,EIRE's was 42689.65 GBP,14,0.161315,-0.161315,2.797064,5.866501,0.082574,0.66337,0.066735,0.018616,0.082572,1.098467
ann_q_0047_008,q_0047,p_0047,currency_amount,hallucinated_key_fact,1,1.00 GBP,5,0.888738,-0.888738,2.213577,4.683575,0.758587,1.90782,0.318482,0.167743,0.758574,2.197358
ann_q_0047_009,q_0047,p_0047,comparison_direction,correct_key_fact,0,less than EIRE,4,-0.040477,0.040477,4.358478,7.007269,0.05928,0.183575,0.05508,0.029765,0.059277,0.814648
ann_q_0017_001,q_0017,p_0017,month,correct_key_fact,0,December 2010,6,-0.643503,0.643503,3.143503,10.361021,1.2e-05,6.7e-05,1.2e-05,7e-06,1.2e-05,0.000846
ann_q_0017_002,q_0017,p_0017,product_name,hallucinated_key_fact,1,CHILLI LIGHTS,5,0.80061,-0.80061,4.899399,13.750008,0.335276,0.851135,0.21563,0.083325,0.335271,1.795437
ann_q_0017_003,q_0017,p_0017,currency_amount,hallucinated_key_fact,1,GBP 7506.44,9,-0.097299,0.097299,3.430652,10.622473,0.044831,0.281696,0.040371,0.003788,0.044831,0.699937
ann_q_0017_004,q_0017,p_0017,ranking,hallucinated_key_fact,1,ranking is 1,4,0.754142,-0.754142,0.977149,1.476383,0.330688,0.732906,0.259684,0.122094,0.330683,1.375842
ann_q_0017_005,q_0017,p_0017,product_stock_code,hallucinated_key_fact,1,79321,5,-0.487328,0.487328,3.187328,6.25,0.00542,0.027098,0.005348,0.00016,0.005421,0.128661
ann_q_0017_006,q_0017,p_0017,product_name,hallucinated_key_fact,1,CHILLI LIGHTS,5,-1.297083,1.297083,4.047095,7.236191,0.000168,0.000605,0.000168,3.3e-05,0.000168,0.005369
ann_q_0100_001,q_0100,p_0100,month,correct_key_fact,0,November 2011,6,0.041668,-0.041668,4.208333,8.749996,0.000105,0.000626,0.000105,2.3e-05,0.000105,0.005814
ann_q_0100_002,q_0100,p_0100,business_definition,correct_key_fact,0,cancellations and returns reduced gross positive revenue,8,0.44178,-0.44178,5.218746,16.25,0.006927,0.028057,0.006863,0.002914,0.006926,0.177086
ann_q_0100_003,q_0100,p_0100,currency_amount,correct_key_fact,0,"GBP 47,720.98",11,0.256832,-0.256832,2.378994,6.566044,0.088707,0.709583,0.068659,0.022838,0.088707,1.157635
ann_q_0100_004,q_0100,p_0100,malformed_number,hallucinated_key_fact,1,"GBP 145,6145.80",13,-0.009281,0.009281,3.171824,6.250015,0.089308,0.488295,0.073804,0.006177,0.089308,0.835559
ann_q_0100_005,q_0100,p_0100,business_definition,correct_key_fact,0,positive amount,2,-1.364481,1.364481,1.364481,1.995565,0.191582,0.379435,0.159736,0.032913,0.19158,0.871483
ann_q_0100_006,q_0100,p_0100,business_definition,correct_key_fact,0,negative cancellation_return_revenue,5,0.319635,-0.319635,4.782427,10.361778,0.163876,0.454798,0.134497,0.047678,0.163875,1.196185
ann_q_0022_001,q_0022,p_0022,month,correct_key_fact,0,May 2011,6,-0.594901,0.594901,3.136568,8.319416,1.2e-05,6.3e-05,1.2e-05,8e-06,1.2e-05,0.000814
ann_q_0022_002,q_0022,p_0022,product_name,hallucinated_key_fact,1,SPOTTY BUNTING,6,0.497162,-0.497162,2.502945,7.875029,0.099066,0.590736,0.074955,0.048078,0.099065,1.54012
ann_q_0022_003,q_0022,p_0022,product_stock_code,hallucinated_key_fact,1,22298,5,-1.181753,1.181753,5.43236,6.933741,0.405007,1.223455,0.157328,0.008379,0.405006,0.879369
ann_q_0022_004,q_0022,p_0022,currency_amount,hallucinated_key_fact,1,"GBP 7,513.92",10,-0.067009,0.067009,2.792076,9.10606,0.123363,0.974249,0.061932,0.006578,0.123363,0.664788
ann_q_0022_005,q_0022,p_0022,ranking,hallucinated_key_fact,1,ranking is 1st,5,0.817286,-0.817286,0.824513,1.657993,0.527747,0.934038,0.386587,0.175475,0.527742,1.413013
ann_q_0030_001,q_0030,p_0030,month,correct_key_fact,0,January 2011,6,-0.020831,0.020831,3.479165,6.749996,4e-05,0.000229,3.9e-05,1.8e-05,3.9e-05,0.002582
ann_q_0030_002,q_0030,p_0030,comparison_direction,hallucinated_key_fact,1,Germany generated more net revenue,5,0.224993,-0.224993,4.398478,10.433712,0.199298,0.812813,0.145929,0.048559,0.199297,1.068096
ann_q_0030_003,q_0030,p_0030,currency_amount,hallucinated_key_fact,1,16421.43 GBP,9,0.247018,-0.247018,2.378067,7.089931,0.302728,1.104191,0.214061,0.120808,0.302724,1.995473
ann_q_0030_004,q_0030,p_0030,currency_amount,correct_key_fact,0,16421.43 GBP,9,0.313355,-0.313355,2.638579,5.750015,0.083,0.395884,0.070604,0.025287,0.082997,1.293273
ann_q_0030_005,q_0030,p_0030,currency_amount,correct_key_fact,0,17503.07 GBP,9,-0.524821,0.524821,2.802642,8.476097,0.000312,0.002211,0.000311,6.7e-05,0.000312,0.017226
ann_q_0050_001,q_0050,p_0050,comparison_direction,correct_key_fact,0,decreased,1,2.693394,-2.693394,2.693394,2.693394,1.375116,1.375116,0.583186,0.330376,1.375116,1.3902
ann_q_0050_002,q_0050,p_0050,currency_amount,correct_key_fact,0,"GBP 558,448.56",12,0.469238,-0.469238,3.937369,8.309681,0.142905,1.649326,0.050291,0.029333,0.142905,1.463977
ann_q_0050_003,q_0050,p_0050,month,correct_key_fact,0,January 2011,6,0.021041,-0.021041,3.229118,6.5,0.001354,0.007647,0.001349,0.000688,0.001354,0.052461
ann_q_0050_004,q_0050,p_0050,currency_amount,correct_key_fact,0,"GBP 497,026.41",12,0.239594,-0.239594,2.656246,5.5,3.6e-05,0.000395,3.6e-05,2.1e-05,3.6e-05,0.004339
ann_q_0050_005,q_0050,p_0050,month,correct_key_fact,0,February 2011,6,-1.094331,1.094331,3.427664,7.566004,9e-06,3.4e-05,9e-06,4e-06,9e-06,0.000422
ann_q_0050_006,q_0050,p_0050,currency_amount,hallucinated_key_fact,1,"GBP 62,422.15",11,0.332557,-0.332557,2.24009,6.377386,0.146399,0.666471,0.119002,0.059743,0.146397,1.853686
ann_q_0050_007,q_0050,p_0050,percentage,hallucinated_key_fact,1,-12.06%,7,1.090994,-1.090994,3.346065,9.876173,0.860119,2.410137,0.358327,0.206025,0.860108,2.290304
ann_q_0052_001,q_0052,p_0052,comparison_direction,correct_key_fact,0,decreased,1,2.773333,-2.773333,2.773333,2.773333,1.430182,1.430182,0.605518,0.334394,1.430181,1.432086
ann_q_0052_002,q_0052,p_0052,currency_amount,correct_key_fact,0,"682,013.98 GBP",11,0.067321,-0.067321,2.955648,6.728104,0.040155,0.388987,0.034044,0.001072,0.040155,0.645132
ann_q_0052_003,q_0052,p_0052,month,correct_key_fact,0,March 2011,6,0.292135,-0.292135,3.125389,5.5,0.001819,0.008337,0.001812,0.000804,0.001818,0.060502
ann_q_0052_004,q_0052,p_0052,currency_amount,correct_key_fact,0,"492,367.84 GBP",11,-0.193163,0.193163,3.397714,7.375,7e-06,2.7e-05,7e-06,3e-06,7e-06,0.00032
ann_q_0052_005,q_0052,p_0052,month,correct_key_fact,0,April 2011,6,-1.149,1.149,2.857333,6.393999,2e-06,8e-06,2e-06,1e-06,2e-06,0.00011
ann_q_0052_006,q_0052,p_0052,currency_amount,hallucinated_key_fact,1,"190,646.14 GBP",11,-0.085643,0.085643,2.481257,6.097784,0.122035,0.902313,0.074215,0.019274,0.122034,0.825841
ann_q_0052_007,q_0052,p_0052,percentage,correct_key_fact,0,27.8%,5,-0.271378,0.271378,5.524838,12.053814,0.462245,1.196186,0.25117,0.123086,0.462241,1.994314
ann_q_0073_001,q_0073,p_0073,month,correct_key_fact,0,January 2011,6,-1.019891,1.019891,4.644891,11.619364,9e-06,3.8e-05,9e-06,6e-06,9e-06,0.000517
ann_q_0073_002,q_0073,p_0073,product_name,hallucinated_key_fact,1,DOORMAT FAIRY CAKE,7,0.430053,-0.430053,4.784625,8.741779,0.035846,0.248775,0.031769,0.018235,0.035845,1.083136
ann_q_0073_003,q_0073,p_0073,currency_amount,hallucinated_key_fact,1,5206.23 GBP,8,-0.405339,0.405339,2.28036,5.986814,0.001903,0.013186,0.001891,0.001039,0.001902,0.088318
ann_q_0073_004,q_0073,p_0073,percentage,hallucinated_key_fact,1,100%,4,0.277512,-0.277512,2.098412,3.250257,0.145132,0.472818,0.119763,0.012382,0.145131,0.86311
ann_q_0073_005,q_0073,p_0073,currency_amount,correct_key_fact,0,"578,914.41 GBP",11,-0.476368,0.476368,3.090009,7.12499,0.000305,0.001717,0.000304,2.4e-05,0.000305,0.012723
ann_q_0073_006,q_0073,p_0073,percentage,hallucinated_key_fact,1,100%,4,0.189942,-0.189942,1.810185,2.62504,0.004078,0.008175,0.004062,0.001564,0.004078,0.059637
ann_q_0084_001,q_0084,p_0084,month,correct_key_fact,0,January 2011,6,-0.967409,0.967409,4.342409,10.429474,9e-06,3.4e-05,9e-06,6e-06,9e-06,0.000486
ann_q_0084_002,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,GBP 5209.79,9,0.29497,-0.29497,2.660385,8.30549,0.192263,1.3675,0.100842,0.056608,0.192262,1.422108
ann_q_0084_003,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,GBP 5580.98,9,0.12515,-0.12515,3.485999,8.749432,0.000936,0.007648,0.000933,0.00015,0.000936,0.048961
ann_q_0084_004,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,GBP 5133.77,9,-0.498026,0.498026,2.414725,9.616592,0.001047,0.00494,0.001045,6.9e-05,0.001047,0.032788
ann_q_0084_005,q_0084,p_0084,currency_amount,hallucinated_key_fact,1,"GBP 15,924.54",11,-0.12447,0.12447,2.761333,6.125793,0.04658,0.283804,0.041481,0.002752,0.046579,0.577657
ann_q_0084_006,q_0084,p_0084,currency_amount,correct_key_fact,0,"GBP 578,914.41",12,-0.051901,0.051901,2.801912,6.0,9.4e-05,0.00104,9.4e-05,5.4e-05,9.4e-05,0.009899
ann_q_0084_007,q_0084,p_0084,percentage,hallucinated_key_fact,1,27.5%,5,0.344431,-0.344431,7.470105,11.456604,0.487384,2.043396,0.211477,0.157723,0.487379,1.849683
ann_q_0089_001,q_0089,p_0089,month,correct_key_fact,0,December 2010,6,0.104167,-0.104167,4.312499,9.624996,0.00018,0.001081,0.00018,4.6e-05,0.00018,0.009615
ann_q_0089_002,q_0089,p_0089,business_definition,correct_key_fact,0,cancellations and returns reduced gross positive revenue,8,0.441525,-0.441525,5.310393,16.5,0.005571,0.021177,0.005531,0.002333,0.00557,0.141002
ann_q_0089_003,q_0089,p_0089,currency_amount,correct_key_fact,0,"GBP 74,729.12",11,0.197026,-0.197026,2.843981,5.717888,0.090706,0.862591,0.064336,0.024647,0.090705,1.185389
ann_q_0089_004,q_0089,p_0089,currency_amount,correct_key_fact,0,"GBP 746,723.61",12,-0.034328,0.034328,2.680477,5.715187,0.004535,0.031776,0.004481,0.000364,0.004535,0.149601
ann_q_0089_005,q_0089,p_0089,business_definition,correct_key_fact,0,positive amount,2,-1.324109,1.324109,1.324109,1.878153,0.187782,0.371847,0.157124,0.029214,0.18778,0.844898
ann_q_0089_006,q_0089,p_0089,business_definition,correct_key_fact,0,negative cancellation_return_revenue,5,0.355928,-0.355928,4.745617,10.237284,0.175366,0.484909,0.141945,0.040328,0.175365,1.081313
ann_q_0016_001,q_0016,p_0016,country,correct_key_fact,0,United Kingdom,2,2.189301,-2.189301,6.935718,9.125019,0.235269,0.470518,0.187669,0.040123,0.235267,0.937472
ann_q_0016_002,q_0016,p_0016,month,correct_key_fact,0,November 2011,6,-0.642643,0.642643,4.35098,10.480871,1.1e-05,5.5e-05,1.1e-05,8e-06,1.1e-05,0.000732
ann_q_0016_003,q_0016,p_0016,currency_amount,correct_key_fact,0,"£1,277,409.79",13,-0.000892,0.000892,2.520257,9.318045,0.070625,0.861677,0.048653,0.011995,0.070625,1.165575
ann_q_0016_004,q_0016,p_0016,currency_amount,correct_key_fact,0,"£1,319,934.07",13,0.040545,-0.040545,2.651794,4.750004,0.000157,0.001181,0.000157,2.4e-05,0.000157,0.00922
ann_q_0016_005,q_0016,p_0016,currency_amount,correct_key_fact,0,"£-42,524.28",11,0.280495,-0.280495,3.419464,6.590366,0.125036,0.576014,0.099373,0.001085,0.125035,0.686295
ann_q_0016_006,q_0016,p_0016,ranking,correct_key_fact,0,ranking is 1,4,0.206554,-0.206554,0.948122,2.309353,0.283699,0.502945,0.233746,0.14606,0.283694,1.64973
ann_q_0029_001,q_0029,p_0029,date_range,correct_key_fact,0,December 2011 through December 9,10,0.009957,-0.009957,3.015422,8.538681,0.034046,0.336319,0.028973,0.008362,0.034045,0.830557
ann_q_0029_002,q_0029,p_0029,product_name,hallucinated_key_fact,1,REGENCY CAKESTAND 3 TIER,10,0.403175,-0.403175,3.69686,9.000162,0.094512,0.944534,0.061172,0.044927,0.094511,1.81163
ann_q_0029_003,q_0029,p_0029,currency_amount,hallucinated_key_fact,1,GBP 5890.17,9,-0.182423,0.182423,3.376906,10.595255,0.040855,0.181698,0.037681,0.006412,0.040854,0.611643
ann_q_0029_004,q_0029,p_0029,ranking,hallucinated_key_fact,1,ranking is **1**,5,0.870926,-0.870926,0.870926,2.1766,0.583511,1.412914,0.384882,0.204627,0.583505,2.42334
ann_q_0041_001,q_0041,p_0041,month,correct_key_fact,0,January 2011,6,0.145834,-0.145834,3.0625,5.999998,1.7e-05,0.000103,1.8e-05,1.1e-05,1.8e-05,0.001282
ann_q_0041_002,q_0041,p_0041,comparison_direction,correct_key_fact,0,the Netherlands generated more net revenue,6,0.06963,-0.06963,3.415085,10.036366,0.053686,0.119648,0.051036,0.008534,0.053685,0.438417
ann_q_0041_003,q_0041,p_0041,currency_amount,hallucinated_key_fact,1,"GBP 5,044.64",10,0.325659,-0.325659,1.985504,3.625658,0.220871,0.760317,0.170715,0.080423,0.220869,1.709117
ann_q_0060_001,q_0060,p_0060,month,correct_key_fact,0,December 2010,6,-0.910845,0.910845,3.869178,11.715075,1.1e-05,6.1e-05,1.1e-05,7e-06,1.1e-05,0.000773
ann_q_0060_002,q_0060,p_0060,ranking,hallucinated_key_fact,1,1.,2,-2.261882,2.261882,2.762239,5.02412,0.09746,0.194563,0.08858,0.007384,0.097459,0.525284
ann_q_0060_003,q_0060,p_0060,product_name,hallucinated_key_fact,1,WHITE SKULL HOT WATER BOTTLE,8,0.103876,-0.103876,1.490332,4.466019,0.034487,0.228868,0.031323,0.010682,0.034486,0.785478
ann_q_0060_004,q_0060,p_0060,currency_amount,hallucinated_key_fact,1,"GBP 8,224.98",10,0.071259,-0.071259,3.534912,10.827967,0.128716,0.632723,0.096414,0.026657,0.128716,1.222222
ann_q_0060_005,q_0060,p_0060,ranking,hallucinated_key_fact,1,2.,2,-2.06249,2.06249,2.06249,2.375,3e-06,6e-06,3e-06,1e-06,3e-06,8.5e-05
ann_q_0060_006,q_0060,p_0060,product_name,hallucinated_key_fact,1,CHILLI LIGHTS,5,0.275571,-0.275571,2.974644,4.125004,0.040217,0.20048,0.036453,0.014244,0.040217,0.675674
ann_q_0060_007,q_0060,p_0060,currency_amount,hallucinated_key_fact,1,"GBP 7,506.44",10,-0.499998,0.499998,2.6,5.24999,5e-06,3.1e-05,5e-06,1e-06,5e-06,0.000364
ann_q_0060_008,q_0060,p_0060,ranking,correct_key_fact,0,3.,2,-1.749992,1.749992,2.000008,3.75,4e-06,8e-06,3e-06,2e-06,3e-06,9.3e-05
ann_q_0060_009,q_0060,p_0060,product_name,correct_key_fact,0,PAPER CHAIN KIT 50'S CHRISTMAS,12,-0.113228,0.113228,2.947736,6.873541,0.002766,0.023748,0.002741,0.000426,0.002766,0.128818
ann_q_0060_010,q_0060,p_0060,currency_amount,correct_key_fact,0,"GBP 9,187.45",10,-0.837313,0.837313,2.837314,8.373148,4e-06,1.5e-05,4e-06,1e-06,4e-06,0.000182
ann_q_0057_001,q_0057,p_0057,month,correct_key_fact,0,August 2011,6,0.855328,-0.855328,4.061623,5.625849,0.08627,0.516769,0.067402,0.020372,0.08627,1.006919
ann_q_0057_002,q_0057,p_0057,currency_amount,correct_key_fact,0,"£703,510.58",11,0.236827,-0.236827,3.899756,9.646706,0.077734,0.853273,0.052344,0.031488,0.077734,1.338591
ann_q_0057_003,q_0057,p_0057,month,correct_key_fact,0,September 2011,6,-1.303652,1.303652,2.928654,7.446926,1.6e-05,8e-05,1.5e-05,4e-06,1.5e-05,0.000922
ann_q_0057_004,q_0057,p_0057,currency_amount,correct_key_fact,0,"£1,017,596.68",13,-0.016603,0.016603,3.785837,7.375,3.1e-05,0.00021,3.1e-05,8e-06,3.1e-05,0.002018
ann_q_0057_005,q_0057,p_0057,currency_amount,correct_key_fact,0,"£314,086.10",11,0.302947,-0.302947,1.98766,5.270693,0.016886,0.104307,0.016248,0.003978,0.016885,0.388322
ann_q_0057_006,q_0057,p_0057,percentage,hallucinated_key_fact,1,43.4%,5,0.869322,-0.869322,5.239608,8.473297,0.756945,2.151703,0.407977,0.299577,0.756931,2.298537
ann_q_0065_001,q_0065,p_0065,month,correct_key_fact,0,May 2011,6,-0.841771,0.841771,3.508437,8.550634,1.4e-05,7.6e-05,1.5e-05,1e-05,1.5e-05,0.000972
ann_q_0065_002,q_0065,p_0065,ranking,hallucinated_key_fact,1,1.,2,-1.856223,1.856223,2.481614,4.337837,0.098362,0.196333,0.089326,0.008253,0.098361,0.531932
ann_q_0065_003,q_0065,p_0065,product_name,hallucinated_key_fact,1,DOORMAT KEEP CALM AND COME IN,9,0.453163,-0.453163,3.658297,7.876534,0.115584,1.037163,0.046521,0.006853,0.115583,0.966272
ann_q_0065_004,q_0065,p_0065,currency_amount,hallucinated_key_fact,1,GBP 5952.26,9,0.02304,-0.02304,3.491277,10.331291,0.106436,0.474203,0.086946,0.017403,0.106435,1.017789
ann_q_0065_005,q_0065,p_0065,ranking,hallucinated_key_fact,1,2.,2,-5.574027,5.574027,5.574027,7.023056,4e-06,6e-06,4e-06,1e-06,4e-06,9.2e-05
ann_q_0065_006,q_0065,p_0065,product_name,hallucinated_key_fact,1,JUMBO BAG RED RETROSPOT,10,0.675111,-0.675111,2.774923,10.000069,0.035243,0.351944,0.029716,0.018912,0.035242,1.16097
ann_q_0065_007,q_0065,p_0065,currency_amount,hallucinated_key_fact,1,GBP 7114.70,9,-0.555536,0.555536,1.99999,6.749901,1.2e-05,3.1e-05,1.2e-05,5e-06,1.2e-05,0.000384
ann_q_0065_008,q_0065,p_0065,ranking,hallucinated_key_fact,1,3.,2,-5.875374,5.875374,5.875374,6.62575,5e-06,8e-06,5e-06,3e-06,5e-06,0.000108
ann_q_0065_009,q_0065,p_0065,product_name,hallucinated_key_fact,1,PARTY BUNTING,4,1.906769,-1.906769,3.780764,10.62501,0.281448,1.12425,0.158346,0.076823,0.281445,1.653462
ann_q_0065_010,q_0065,p_0065,currency_amount,hallucinated_key_fact,1,GBP 19093.30,10,-0.774812,0.774812,2.849819,5.0,3.4e-05,0.000235,3.4e-05,1.4e-05,3.4e-05,0.002476
ann_q_0072_001,q_0072,p_0072,date_range,correct_key_fact,0,December 2011 through December 9,10,-0.309128,0.309128,3.284485,8.938618,0.043863,0.436382,0.035587,0.019189,0.043862,1.22484
ann_q_0072_002,q_0072,p_0072,ranking,hallucinated_key_fact,1,1.,2,-2.253019,2.253019,3.003347,5.256367,0.077454,0.154579,0.071776,0.005932,0.077453,0.457748
ann_q_0072_003,q_0072,p_0072,product_name,hallucinated_key_fact,1,POPcORN HOLDER,4,0.523527,-0.523527,4.255557,6.306185,0.121631,0.23317,0.110476,0.05781,0.121627,0.964865
ann_q_0072_004,q_0072,p_0072,product_stock_code,hallucinated_key_fact,1,22197,5,0.321186,-0.321186,2.778908,5.144377,0.108326,0.541319,0.083664,0.040825,0.108323,1.400933
ann_q_0072_005,q_0072,p_0072,currency_amount,hallucinated_key_fact,1,GBP 5409.86,9,0.007145,-0.007145,3.021791,8.517363,0.12851,0.576416,0.102506,0.022758,0.128509,1.081625
ann_q_0072_006,q_0072,p_0072,ranking,hallucinated_key_fact,1,2.,2,-1.312489,1.312489,1.312489,1.499977,1.4e-05,2.9e-05,1.5e-05,7e-06,1.5e-05,0.000383
ann_q_0072_007,q_0072,p_0072,product_name,hallucinated_key_fact,1,RABBIT NIGHT LIGHT,5,0.826879,-0.826879,1.174141,4.252367,0.102826,0.504919,0.081129,0.006682,0.102826,0.869572
ann_q_0072_008,q_0072,p_0072,product_stock_code,hallucinated_key_fact,1,23084,5,-0.699882,0.699882,2.249897,4.499527,2.4e-05,8e-05,2.4e-05,3e-06,2.4e-05,0.00087
ann_q_0072_009,q_0072,p_0072,currency_amount,hallucinated_key_fact,1,GBP 9603.45,9,-0.583299,0.583299,2.166635,6.749823,1.7e-05,0.000107,1.7e-05,4e-06,1.7e-05,0.00115
ann_q_0072_010,q_0072,p_0072,ranking,hallucinated_key_fact,1,3.,2,-1.999982,1.999982,1.999982,3.249998,6e-06,1e-05,5e-06,4e-06,5e-06,0.000143
ann_q_0072_011,q_0072,p_0072,product_name,hallucinated_key_fact,1,METAL SIGN TAKE IT OR LEAVE IT,9,0.500327,-0.500327,2.38885,5.37495,0.092046,0.82552,0.062764,0.036482,0.092045,1.508769
ann_q_0072_012,q_0072,p_0072,product_stock_code,hallucinated_key_fact,1,22413,5,-0.895122,0.895122,3.145127,5.625013,0.003671,0.018175,0.003638,1.4e-05,0.003671,0.090445
ann_q_0072_013,q_0072,p_0072,currency_amount,hallucinated_key_fact,1,GBP 3996.70,9,-0.676168,0.676168,2.231743,6.995918,0.017829,0.160294,0.016475,1.7e-05,0.017829,0.420056
ann_q_0072_014,q_0072,p_0072,unsupported_business_claim,hallucinated_key_fact,1,These products reflect the highest net revenue values in the provided data,12,0.974202,-0.974202,1.667241,3.935022,0.922376,2.808439,0.440844,0.275932,0.922367,3.109305
ann_q_0088_001,q_0088,p_0088,currency_amount,correct_key_fact,0,34343.77,8,0.254356,-0.254356,2.6693,8.452551,0.111658,0.655861,0.087585,0.069321,0.111656,1.622077
ann_q_0088_002,q_0088,p_0088,currency_amount,hallucinated_key_fact,1,13961.94,8,-0.062441,0.062441,2.812455,7.74983,4.8e-05,0.000244,4.9e-05,1.4e-05,4.9e-05,0.002466
ann_q_0088_003,q_0088,p_0088,currency_amount,hallucinated_key_fact,1,12816.79,8,-0.22602,0.22602,2.726035,7.363661,0.006961,0.054916,0.006776,4.4e-05,0.006961,0.208859
ann_q_0088_004,q_0088,p_0088,currency_amount,hallucinated_key_fact,1,GBP 61122.50,10,-0.093324,0.093324,2.80108,7.147614,0.105492,0.477386,0.090082,0.011541,0.105491,0.687486
ann_q_0088_005,q_0088,p_0088,month,correct_key_fact,0,November 2011,6,0.538685,-0.538685,2.921543,5.75,0.05335,0.314384,0.04591,0.000452,0.05335,0.593332
ann_q_0088_006,q_0088,p_0088,currency_amount,correct_key_fact,0,"GBP 1,427,121.25",14,-0.013896,0.013896,3.031764,5.445114,0.000143,0.001431,0.000143,7.2e-05,0.000143,0.013194
ann_q_0088_007,q_0088,p_0088,percentage,hallucinated_key_fact,1,43.0%,5,0.190912,-0.190912,3.989745,8.698059,0.482447,0.998426,0.305769,0.138449,0.482439,2.146412
