error_family,short_name,example_rank,baseline,error_type,severity,score,threshold,annotation_id,question_id,question_type,fact_type,span_text,gold_short_answer,annotation_reason,generated_excerpt
confident_wrong_numeric_value,Confident wrong numeric value,1,max_token_entropy,false_negative,0.030322,0.002466,0.032788,ann_q_0088_002,q_0088,product_revenue_share_month,currency_amount,13961.94,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",The second generated component amount does not match the rank-2 product revenue.,"The top 3 products combined contributed 34343.77 + [[13961.94]] + 12816.79 = GBP 61122.50. The total merchandise net revenue for November 2011 was GBP 1,..."
confident_wrong_numeric_value,Confident wrong numeric value,2,one_minus_min_top2_margin,false_negative,0.012611,0.000448,0.013059,ann_q_0088_002,q_0088,product_revenue_share_month,currency_amount,13961.94,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",The second generated component amount does not match the rank-2 product revenue.,"The top 3 products combined contributed 34343.77 + [[13961.94]] + 12816.79 = GBP 61122.50. The total merchandise net revenue for November 2011 was GBP 1,..."
confident_wrong_numeric_value,Confident wrong numeric value,3,one_minus_min_top2_margin,false_negative,0.003523,0.009536,0.013059,ann_q_0084_004,q_0084,product_revenue_share_month,currency_amount,GBP 5133.77,"In January 2011, the top 3 products contributed GBP 33,787.17 out of GBP 578,914.41, or 5.84% of merchandise net revenue.",The third generated component amount does not match the rank-3 product revenue.,"...t revenue in January 2011 for the top 3 products combined was GBP 5209.79 + GBP 5580.98 + [[GBP 5133.77]] = GBP 15,924.54. The total merchandise net revenue for the month was GBP 578,914.41. The ..."
confident_wrong_product_identity,Confident wrong product identity,1,max_token_entropy,false_negative,0.027419,0.005369,0.032788,ann_q_0017_006,q_0017,top_product_month,product_name,CHILLI LIGHTS,"22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in December 2010 at GBP 26,722.16.","Gold top product is REGENCY CAKESTAND 3 TIER, not CHILLI LIGHTS.","...**GBP 7506.44**. The ranking is 1. The stock code is **79321**, and the product name is **[[CHILLI LIGHTS]]**."
confident_wrong_product_identity,Confident wrong product identity,2,one_minus_min_top2_margin,false_negative,0.011902,0.001157,0.013059,ann_q_0017_006,q_0017,top_product_month,product_name,CHILLI LIGHTS,"22423 (REGENCY CAKESTAND 3 TIER) had the highest merchandise net revenue in December 2010 at GBP 26,722.16.","Gold top product is REGENCY CAKESTAND 3 TIER, not CHILLI LIGHTS.","...**GBP 7506.44**. The ranking is 1. The stock code is **79321**, and the product name is **[[CHILLI LIGHTS]]**."
confident_wrong_top3_ranked_item,Confident wrong top-3 ranking,1,max_token_entropy,false_negative,0.032703,8.5e-05,0.032788,ann_q_0060_005,q_0060,top3_products_month,ranking,2.,"Top 3 products in December 2010: 1. 22423 (REGENCY CAKESTAND 3 TIER), GBP 26,722.16; 2. 84029E (RED WOOLLY HOTTIE WHITE HEART.), GBP 9,291.73; 3. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 9,187.45.",The rank-2 marker is tied to the wrong generated product.,"...re: 1. **WHITE SKULL HOT WATER BOTTLE** (rank 1), with a net revenue of GBP 8,224.98. [[2.]] **CHILLI LIGHTS** (rank 2), with a net revenue of GBP 7,506.44. 3. **PAPER CHAIN KIT 50..."
confident_wrong_top3_ranked_item,Confident wrong top-3 ranking,2,max_token_entropy,false_negative,0.032696,9.2e-05,0.032788,ann_q_0065_005,q_0065,top3_products_month,ranking,2.,"Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.",The rank-2 marker is tied to the wrong generated product.,"...1 were: 1. DOORMAT KEEP CALM AND COME IN (rank 1), with a net revenue of GBP 5952.26. [[2.]] JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of GBP 7114.70. 3. PARTY BUNTING (..."
confident_wrong_top3_ranked_item,Confident wrong top-3 ranking,3,max_token_entropy,false_negative,0.03268,0.000108,0.032788,ann_q_0065_008,q_0065,top3_products_month,ranking,3.,"Top 3 products in May 2011: 1. 47566 (PARTY BUNTING), GBP 19,093.30; 2. 22423 (REGENCY CAKESTAND 3 TIER), GBP 12,217.27; 3. 85123A (WHITE HANGING HEART T-LIGHT HOLDER), GBP 11,172.17.","The rank-3 marker is tied to PARTY BUNTING, but gold rank 3 is WHITE HANGING HEART T-LIGHT HOLDER.","... GBP 5952.26. 2. JUMBO BAG RED RETROSPOT (rank 2), with a net revenue of GBP 7114.70. [[3.]] PARTY BUNTING (rank 3), with a net revenue of GBP 19093.30."
correct_business_definition_flagged_uncertain,Correct business definition flagged,1,max_token_entropy,false_positive,1.163397,1.196185,0.032788,ann_q_0100_006,q_0100,return_impact_month,business_definition,negative cancellation_return_revenue,"Cancellations and returns reduced gross positive revenue by GBP 47,720.98 (3.17% of gross), leaving net revenue of GBP 1,456,145.80.",The evidence table and metric definition support cancellation_return_revenue being negative for this month.,"...t revenue of GBP 145,6145.80. The reduction was reported as a positive amount despite the [[negative cancellation_return_revenue]]."
correct_business_definition_flagged_uncertain,Correct business definition flagged,2,max_token_entropy,false_positive,1.048525,1.081313,0.032788,ann_q_0089_006,q_0089,return_impact_month,business_definition,negative cancellation_return_revenue,"Cancellations and returns reduced gross positive revenue by GBP 74,729.12 (9.10% of gross), leaving net revenue of GBP 746,723.61.",The evidence table and metric definition support cancellation_return_revenue being negative for this month.,"...et revenue of GBP 746,723.61. The reduction was reported as a positive amount despite the [[negative cancellation_return_revenue]]."
correct_business_definition_flagged_uncertain,Correct business definition flagged,3,max_token_entropy,false_positive,0.838695,0.871483,0.032788,ann_q_0100_005,q_0100,return_impact_month,business_definition,positive amount,"Cancellations and returns reduced gross positive revenue by GBP 47,720.98 (3.17% of gross), leaving net revenue of GBP 1,456,145.80.",The prompt scope note explicitly says to report the reduction as a positive amount.,"...47,720.98, resulting in a net revenue of GBP 145,6145.80. The reduction was reported as a [[positive amount]] despite the negative cancellation_return_revenue."
correct_context_fact_flagged_uncertain,Correct context fact flagged,1,max_token_entropy,false_positive,1.399298,1.432086,0.032788,ann_q_0052_001,q_0052,monthly_revenue_change,comparison_direction,decreased,"Net revenue decreased by GBP 189,646.14 (-27.81%) from March 2011 to April 2011.",Gold answer says net revenue decreased from March 2011 to April 2011.,"The net revenue [[decreased]] from 682,013.98 GBP in March 2011 to 492,367.84 GBP in April 2011, a total decrease of 19..."
correct_context_fact_flagged_uncertain,Correct context fact flagged,2,max_token_entropy,false_positive,1.357412,1.3902,0.032788,ann_q_0050_001,q_0050,monthly_revenue_change,comparison_direction,decreased,"Net revenue decreased by GBP 61,422.15 (-11.00%) from January 2011 to February 2011.",Gold answer says net revenue decreased from January 2011 to February 2011.,"The net revenue [[decreased]] from GBP 558,448.56 in January 2011 to GBP 497,026.41 in February 2011, representing a **..."
correct_context_fact_flagged_uncertain,Correct context fact flagged,3,max_token_entropy,false_positive,1.192052,1.22484,0.032788,ann_q_0072_001,q_0072,top3_products_month,date_range,December 2011 through December 9,"Top 3 products in December 2011 through December 9: 1. 23084 (RABBIT NIGHT LIGHT), GBP 9,603.45; 2. 22086 (PAPER CHAIN KIT 50'S CHRISTMAS), GBP 6,867.76; 3. 22423 (REGENCY CAKESTAND 3 TIER), GBP 5,890.17.",Correct partial-month date range for the December 2011 question.,The top 3 products by merchandise net revenue in [[December 2011 through December 9]] were: 1. **POPcORN HOLDER** (22197) with a net revenue of GBP 5409.86. 2. **RABBIT NI...
correct_numeric_flagged_uncertain,Correct numeric fact flagged,1,max_token_entropy,false_positive,1.961526,1.994314,0.032788,ann_q_0052_007,q_0052,monthly_revenue_change,percentage,27.8%,"Net revenue decreased by GBP 189,646.14 (-27.81%) from March 2011 to April 2011.","The magnitude is within tolerance of 27.81%, and the separate direction span correctly states a decrease.","... 190,646.14 GBP. The percentage change is calculated as (190,646.14 / 682,013.98) × 100 ≈ [[27.8%]]."
correct_numeric_flagged_uncertain,Correct numeric fact flagged,2,max_token_entropy,false_positive,1.589289,1.622077,0.032788,ann_q_0088_001,q_0088,product_revenue_share_month,currency_amount,34343.77,"In November 2011, the top 3 products contributed GBP 77,311.21 out of GBP 1,427,121.25, or 5.42% of merchandise net revenue.",The first generated component amount matches the rank-1 product revenue.,The top 3 products combined contributed [[34343.77]] + 13961.94 + 12816.79 = GBP 61122.50. The total merchandise net revenue for November 2011...
correct_numeric_flagged_uncertain,Correct numeric fact flagged,3,max_token_entropy,false_positive,1.431189,1.463977,0.032788,ann_q_0050_002,q_0050,monthly_revenue_change,currency_amount,"GBP 558,448.56","Net revenue decreased by GBP 61,422.15 (-11.00%) from January 2011 to February 2011.",Generated previous-month net revenue matches the gold value.,"The net revenue decreased from [[GBP 558,448.56]] in January 2011 to GBP 497,026.41 in February 2011, representing a **GBP 62,422.15 decrea..."
correct_ranking_flagged_uncertain,Correct ranking fact flagged,1,max_token_entropy,false_positive,1.616942,1.64973,0.032788,ann_q_0016_006,q_0016,top_country_month,ranking,ranking is 1,"United Kingdom had the highest net revenue in November 2011 (all countries) at GBP 1,277,409.79.",United Kingdom is the highest net revenue country in the evidence table.,"...s positive revenue of £1,319,934.07 and a cancellation/return revenue of £-42,524.28. The [[ranking is 1]]."
correct_ranking_flagged_uncertain,Correct ranking fact flagged,2,max_token_entropy,false_positive,1.199587,1.232375,0.032788,ann_q_0012_004,q_0012,top_country_month,ranking,ranked 1st,"United Kingdom had the highest net revenue in January 2011 (all countries) at GBP 432,995.40.",United Kingdom is the highest net revenue country in the evidence table.,"...anuary 2011 was the United Kingdom, with a net revenue of £432,995.40. The United Kingdom [[ranked 1st]] with a 100% gross positive revenue and a cancellation return revenue of £0.00."
correct_ranking_flagged_uncertain,Correct ranking fact flagged,3,one_minus_min_top2_margin,false_positive,0.766637,0.779696,0.013059,ann_q_0012_004,q_0012,top_country_month,ranking,ranked 1st,"United Kingdom had the highest net revenue in January 2011 (all countries) at GBP 432,995.40.",United Kingdom is the highest net revenue country in the evidence table.,"...anuary 2011 was the United Kingdom, with a net revenue of £432,995.40. The United Kingdom [[ranked 1st]] with a 100% gross positive revenue and a cancellation return revenue of £0.00."
